1.084077724e-06 6.563845574e-07 7.964146533e-07 8.704157892e-07 2.991635775e-07 7.508191118e-07 2.580172094e-07 1.201548141e-07 1.609703197e-07 2.228638323e-07 
1.205921103e-06 7.527308412e-07 8.59203135e-07 8.961969115e-07 2.781933603e-07 6.617249312e-07 2.508280517e-07 1.016756368e-07 1.343280413e-07 1.838428513e-07 
1.370255651e-06 8.983206025e-07 8.397405035e-07 9.059223392e-07 3.025351679e-07 6.398216451e-07 2.502693401e-07 1.024065392e-07 1.178323149e-07 1.590946566e-07 
1.425099315e-06 8.999269637e-07 8.26512259e-07 9.760523036e-07 2.871596893e-07 6.133874909e-07 2.237978539e-07 1.202615026e-07 1.00999127e-07 1.595700397e-07 
1.505860739e-06 1.035434244e-06 7.995159795e-07 9.870290601e-07 3.589981605e-07 4.782000117e-07 1.907084431e-07 1.267881391e-07 1.156954266e-07 1.166906741e-07 
1.449005993e-06 9.627052496e-07 7.950443757e-07 9.757941452e-07 3.277061517e-07 3.816875887e-07 1.854356617e-07 1.260428721e-07 8.440341784e-08 9.181730144e-08 
1.622331224e-06 1.014109468e-06 8.101024735e-07 9.967333767e-07 3.260015394e-07 3.707493071e-07 1.769082516e-07 1.419816287e-07 6.31720842e-08 9.205271948e-08 
1.602154636e-06 1.038584279e-06 9.207620256e-07 1.001361568e-06 3.430460954e-07 4.014323045e-07 1.803143681e-07 1.367074679e-07 4.844162379e-08 7.29821199e-08 
1.511057211e-06 1.013333653e-06 9.048627265e-07 9.905529542e-07 3.799165153e-07 4.170546991e-07 1.620543273e-07 1.462063547e-07 5.255473111e-08 8.786678458e-08 
1.33906067e-06 8.630653139e-07 8.939864772e-07 1.031429398e-06 3.718259509e-07 3.839658608e-07 1.398295818e-07 1.409014792e-07 5.735090828e-08 8.609849291e-08 
1.337993508e-06 8.821956986e-07 9.298388315e-07 9.647471464e-07 4.152756391e-07 5.782460814e-07 1.629544499e-07 1.40823155e-07 8.327582332e-08 6.613591605e-08 
1.197157815e-06 7.602068065e-07 9.105156096e-07 8.906403407e-07 3.342673298e-07 5.631924621e-07 1.517237901e-07 1.187787047e-07 9.044531321e-08 6.975043781e-08 
